,audio_filename,filename,id,modality,vocal_channel,emotion,emotion_string,emotional,emotional_string,statement,repetition,speaker,gender,start,end,channels,Anger,Happiness,Sadness,Neutral state
258,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_15/03-01-03-01-02-02-15.wav,03-01-03-01-02-02-15,RAVDESS_258,03,01,03,happy,01,normal,02,02,15,M,0,3.436780045351474,,0,1,0,0
261,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_15/03-01-05-02-02-01-15.wav,03-01-05-02-02-01-15,RAVDESS_261,03,01,05,angry,02,strong,02,01,15,M,0,3.47015873015873,,1,0,0,0
264,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_15/03-01-04-01-02-01-15.wav,03-01-04-01-02-01-15,RAVDESS_264,03,01,04,sad,01,normal,02,01,15,M,0,3.3033560090702947,,0,0,1,0
265,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_15/03-01-03-01-01-01-15.wav,03-01-03-01-01-01-15,RAVDESS_265,03,01,03,happy,01,normal,01,01,15,M,0,3.4034013605442177,,0,1,0,0
266,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_15/03-01-01-01-01-02-15.wav,03-01-01-01-01-02-15,RAVDESS_266,03,01,01,neutral,01,normal,01,02,15,M,0,3.436780045351474,,0,0,0,1
267,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_15/03-01-05-01-02-01-15.wav,03-01-05-01-02-01-15,RAVDESS_267,03,01,05,angry,01,normal,02,01,15,M,0,3.703718820861678,,1,0,0,0
268,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_15/03-01-04-01-01-01-15.wav,03-01-04-01-01-01-15,RAVDESS_268,03,01,04,sad,01,normal,01,01,15,M,0,3.5035374149659866,,0,0,1,0
269,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_15/03-01-05-01-01-02-15.wav,03-01-05-01-01-02-15,RAVDESS_269,03,01,05,angry,01,normal,01,02,15,M,0,3.603628117913832,,1,0,0,0
272,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_15/03-01-03-01-02-01-15.wav,03-01-03-01-02-01-15,RAVDESS_272,03,01,03,happy,01,normal,02,01,15,M,0,3.336689342403628,,0,1,0,0
273,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_15/03-01-01-01-01-01-15.wav,03-01-01-01-01-01-15,RAVDESS_273,03,01,01,neutral,01,normal,01,01,15,M,0,3.3700680272108845,,0,0,0,1
277,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_15/03-01-03-02-01-01-15.wav,03-01-03-02-01-01-15,RAVDESS_277,03,01,03,happy,02,strong,01,01,15,M,0,3.570249433106576,,0,1,0,0
278,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_15/03-01-03-02-02-01-15.wav,03-01-03-02-02-01-15,RAVDESS_278,03,01,03,happy,02,strong,02,01,15,M,0,3.803809523809524,,0,1,0,0
279,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_15/03-01-04-02-02-01-15.wav,03-01-04-02-02-01-15,RAVDESS_279,03,01,04,sad,02,strong,02,01,15,M,0,3.5369160997732427,,0,0,1,0
286,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_15/03-01-03-02-01-02-15.wav,03-01-03-02-01-02-15,RAVDESS_286,03,01,03,happy,02,strong,01,02,15,M,0,3.47015873015873,,0,1,0,0
287,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_15/03-01-05-01-01-01-15.wav,03-01-05-01-01-01-15,RAVDESS_287,03,01,05,angry,01,normal,01,01,15,M,0,3.6370068027210882,,1,0,0,0
289,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_15/03-01-03-02-02-02-15.wav,03-01-03-02-02-02-15,RAVDESS_289,03,01,03,happy,02,strong,02,02,15,M,0,3.3700680272108845,,0,1,0,0
291,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_15/03-01-05-02-02-02-15.wav,03-01-05-02-02-02-15,RAVDESS_291,03,01,05,angry,02,strong,02,02,15,M,0,3.603628117913832,,1,0,0,0
293,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_15/03-01-05-02-01-01-15.wav,03-01-05-02-01-01-15,RAVDESS_293,03,01,05,angry,02,strong,01,01,15,M,0,3.5369160997732427,,1,0,0,0
294,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_15/03-01-04-01-01-02-15.wav,03-01-04-01-01-02-15,RAVDESS_294,03,01,04,sad,01,normal,01,02,15,M,0,3.3033106575963718,,0,0,1,0
297,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_15/03-01-04-02-01-01-15.wav,03-01-04-02-01-01-15,RAVDESS_297,03,01,04,sad,02,strong,01,01,15,M,0,3.2699319727891156,,0,0,1,0
299,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_15/03-01-03-01-01-02-15.wav,03-01-03-01-01-02-15,RAVDESS_299,03,01,03,happy,01,normal,01,02,15,M,0,3.336689342403628,,0,1,0,0
300,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_16/03-01-05-02-02-01-16.wav,03-01-05-02-02-01-16,RAVDESS_300,03,01,05,angry,02,strong,02,01,16,F,0,3.803809523809524,,1,0,0,0
306,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_16/03-01-01-01-02-01-16.wav,03-01-01-01-02-01-16,RAVDESS_306,03,01,01,neutral,01,normal,02,01,16,F,0,3.603628117913832,,0,0,0,1
307,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_16/03-01-05-01-02-02-16.wav,03-01-05-01-02-02-16,RAVDESS_307,03,01,05,angry,01,normal,02,02,16,F,0,3.9039002267573695,,1,0,0,0
310,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_16/03-01-05-01-02-01-16.wav,03-01-05-01-02-01-16,RAVDESS_310,03,01,05,angry,01,normal,02,01,16,F,0,3.9039002267573695,,1,0,0,0
311,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_16/03-01-03-02-02-02-16.wav,03-01-03-02-02-02-16,RAVDESS_311,03,01,03,happy,02,strong,02,02,16,F,0,3.803854875283447,,0,1,0,0
312,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_16/03-01-01-01-02-02-16.wav,03-01-01-01-02-02-16,RAVDESS_312,03,01,01,neutral,01,normal,02,02,16,F,0,3.570249433106576,,0,0,0,1
313,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_16/03-01-01-01-01-01-16.wav,03-01-01-01-01-01-16,RAVDESS_313,03,01,01,neutral,01,normal,01,01,16,F,0,3.737097505668934,,0,0,0,1
320,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_16/03-01-05-02-01-01-16.wav,03-01-05-02-01-01-16,RAVDESS_320,03,01,05,angry,02,strong,01,01,16,F,0,3.970657596371882,,1,0,0,0
321,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_16/03-01-04-01-01-02-16.wav,03-01-04-01-01-02-16,RAVDESS_321,03,01,04,sad,01,normal,01,02,16,F,0,3.6369614512471657,,0,0,1,0
324,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_16/03-01-04-01-01-01-16.wav,03-01-04-01-01-01-16,RAVDESS_324,03,01,04,sad,01,normal,01,01,16,F,0,3.570249433106576,,0,0,1,0
327,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_16/03-01-03-01-01-01-16.wav,03-01-03-01-01-01-16,RAVDESS_327,03,01,03,happy,01,normal,01,01,16,F,0,3.703718820861678,,0,1,0,0
331,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_16/03-01-03-02-02-01-16.wav,03-01-03-02-02-01-16,RAVDESS_331,03,01,03,happy,02,strong,02,01,16,F,0,3.7704308390022674,,0,1,0,0
333,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_16/03-01-03-02-01-02-16.wav,03-01-03-02-01-02-16,RAVDESS_333,03,01,03,happy,02,strong,01,02,16,F,0,3.570249433106576,,0,1,0,0
335,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_16/03-01-05-01-01-02-16.wav,03-01-05-01-01-02-16,RAVDESS_335,03,01,05,angry,01,normal,01,02,16,F,0,4.004036281179138,,1,0,0,0
336,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_16/03-01-04-02-01-02-16.wav,03-01-04-02-01-02-16,RAVDESS_336,03,01,04,sad,02,strong,01,02,16,F,0,3.803854875283447,,0,0,1,0
337,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_16/03-01-03-01-01-02-16.wav,03-01-03-01-01-02-16,RAVDESS_337,03,01,03,happy,01,normal,01,02,16,F,0,3.670340136054422,,0,1,0,0
338,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_16/03-01-04-02-01-01-16.wav,03-01-04-02-01-01-16,RAVDESS_338,03,01,04,sad,02,strong,01,01,16,F,0,3.737097505668934,,0,0,1,0
339,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_16/03-01-03-01-02-02-16.wav,03-01-03-01-02-02-16,RAVDESS_339,03,01,03,happy,01,normal,02,02,16,F,0,3.670340136054422,,0,1,0,0
340,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_16/03-01-03-01-02-01-16.wav,03-01-03-01-02-01-16,RAVDESS_340,03,01,03,happy,01,normal,02,01,16,F,0,3.737097505668934,,0,1,0,0
341,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_16/03-01-05-02-01-02-16.wav,03-01-05-02-01-02-16,RAVDESS_341,03,01,05,angry,02,strong,01,02,16,F,0,3.737097505668934,,1,0,0,0
345,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_16/03-01-03-02-01-01-16.wav,03-01-03-02-01-01-16,RAVDESS_345,03,01,03,happy,02,strong,01,01,16,F,0,3.7704761904761903,,0,1,0,0
346,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_16/03-01-01-01-01-02-16.wav,03-01-01-01-01-02-16,RAVDESS_346,03,01,01,neutral,01,normal,01,02,16,F,0,3.737097505668934,,0,0,0,1
350,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_16/03-01-05-01-01-01-16.wav,03-01-05-01-01-01-16,RAVDESS_350,03,01,05,angry,01,normal,01,01,16,F,0,3.970657596371882,,1,0,0,0
352,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_16/03-01-04-01-02-02-16.wav,03-01-04-01-02-02-16,RAVDESS_352,03,01,04,sad,01,normal,02,02,16,F,0,3.5035374149659866,,0,0,1,0
353,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_16/03-01-05-02-02-02-16.wav,03-01-05-02-02-02-16,RAVDESS_353,03,01,05,angry,02,strong,02,02,16,F,0,4.070793650793651,,1,0,0,0
355,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_16/03-01-04-01-02-01-16.wav,03-01-04-01-02-01-16,RAVDESS_355,03,01,04,sad,01,normal,02,01,16,F,0,3.4034467120181406,,0,0,1,0
357,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_16/03-01-04-02-02-01-16.wav,03-01-04-02-02-01-16,RAVDESS_357,03,01,04,sad,02,strong,02,01,16,F,0,3.8705668934240363,,0,0,1,0
359,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_16/03-01-04-02-02-02-16.wav,03-01-04-02-02-02-16,RAVDESS_359,03,01,04,sad,02,strong,02,02,16,F,0,3.737097505668934,,0,0,1,0
361,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_21/03-01-04-01-01-01-21.wav,03-01-04-01-01-01-21,RAVDESS_361,03,01,04,sad,01,normal,01,01,21,M,0,4.304308390022676,,0,0,1,0
362,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_21/03-01-05-02-02-01-21.wav,03-01-05-02-02-01-21,RAVDESS_362,03,01,05,angry,02,strong,02,01,21,M,0,4.104126984126984,,1,0,0,0
363,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_21/03-01-05-01-02-01-21.wav,03-01-05-01-02-01-21,RAVDESS_363,03,01,05,angry,01,normal,02,01,21,M,0,4.070748299319728,,1,0,0,0
364,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_21/03-01-04-01-02-02-21.wav,03-01-04-01-02-02-21,RAVDESS_364,03,01,04,sad,01,normal,02,02,21,M,0,4.20421768707483,,0,0,1,0
368,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_21/03-01-01-01-02-01-21.wav,03-01-01-01-02-01-21,RAVDESS_368,03,01,01,neutral,01,normal,02,01,21,M,0,3.603628117913832,,0,0,0,1
369,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_21/03-01-03-01-01-01-21.wav,03-01-03-01-01-01-21,RAVDESS_369,03,01,03,happy,01,normal,01,01,21,M,0,3.83718820861678,,0,1,0,0
371,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_21/03-01-03-01-02-02-21.wav,03-01-03-01-02-02-21,RAVDESS_371,03,01,03,happy,01,normal,02,02,21,M,0,3.83718820861678,,0,1,0,0
372,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_21/03-01-05-02-02-02-21.wav,03-01-05-02-02-02-21,RAVDESS_372,03,01,05,angry,02,strong,02,02,21,M,0,4.237596371882086,,1,0,0,0
373,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_21/03-01-03-02-01-01-21.wav,03-01-03-02-01-01-21,RAVDESS_373,03,01,03,happy,02,strong,01,01,21,M,0,3.803809523809524,,0,1,0,0
374,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_21/03-01-04-02-02-01-21.wav,03-01-04-02-02-01-21,RAVDESS_374,03,01,04,sad,02,strong,02,01,21,M,0,4.270975056689342,,0,0,1,0
376,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_21/03-01-04-01-01-02-21.wav,03-01-04-01-01-02-21,RAVDESS_376,03,01,04,sad,01,normal,01,02,21,M,0,4.6046258503401365,,0,0,1,0
380,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_21/03-01-03-01-01-02-21.wav,03-01-03-01-01-02-21,RAVDESS_380,03,01,03,happy,01,normal,01,02,21,M,0,3.803809523809524,,0,1,0,0
384,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_21/03-01-03-02-02-01-21.wav,03-01-03-02-02-01-21,RAVDESS_384,03,01,03,happy,02,strong,02,01,21,M,0,3.670340136054422,,0,1,0,0
387,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_21/03-01-04-01-02-01-21.wav,03-01-04-01-02-01-21,RAVDESS_387,03,01,04,sad,01,normal,02,01,21,M,0,4.070793650793651,,0,0,1,0
391,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_21/03-01-01-01-01-01-21.wav,03-01-01-01-01-01-21,RAVDESS_391,03,01,01,neutral,01,normal,01,01,21,M,0,3.83718820861678,,0,0,0,1
392,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_21/03-01-05-02-01-02-21.wav,03-01-05-02-01-02-21,RAVDESS_392,03,01,05,angry,02,strong,01,02,21,M,0,4.471156462585034,,1,0,0,0
393,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_21/03-01-01-01-01-02-21.wav,03-01-01-01-01-02-21,RAVDESS_393,03,01,01,neutral,01,normal,01,02,21,M,0,3.970657596371882,,0,0,0,1
395,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_21/03-01-04-02-01-02-21.wav,03-01-04-02-01-02-21,RAVDESS_395,03,01,04,sad,02,strong,01,02,21,M,0,4.270929705215419,,0,0,1,0
397,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_21/03-01-04-02-02-02-21.wav,03-01-04-02-02-02-21,RAVDESS_397,03,01,04,sad,02,strong,02,02,21,M,0,4.13750566893424,,0,0,1,0
398,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_21/03-01-03-02-01-02-21.wav,03-01-03-02-01-02-21,RAVDESS_398,03,01,03,happy,02,strong,01,02,21,M,0,3.937278911564626,,0,1,0,0
400,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_21/03-01-05-01-01-01-21.wav,03-01-05-01-01-01-21,RAVDESS_400,03,01,05,angry,01,normal,01,01,21,M,0,4.13750566893424,,1,0,0,0
407,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_21/03-01-05-02-01-01-21.wav,03-01-05-02-01-01-21,RAVDESS_407,03,01,05,angry,02,strong,01,01,21,M,0,4.3710657596371885,,1,0,0,0
409,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_21/03-01-03-02-02-02-21.wav,03-01-03-02-02-02-21,RAVDESS_409,03,01,03,happy,02,strong,02,02,21,M,0,3.803809523809524,,0,1,0,0
410,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_21/03-01-05-01-01-02-21.wav,03-01-05-01-01-02-21,RAVDESS_410,03,01,05,angry,01,normal,01,02,21,M,0,4.004036281179138,,1,0,0,0
412,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_21/03-01-03-01-02-01-21.wav,03-01-03-01-02-01-21,RAVDESS_412,03,01,03,happy,01,normal,02,01,21,M,0,3.703718820861678,,0,1,0,0
413,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_21/03-01-01-01-02-02-21.wav,03-01-01-01-02-02-21,RAVDESS_413,03,01,01,neutral,01,normal,02,02,21,M,0,3.670340136054422,,0,0,0,1
415,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_21/03-01-04-02-01-01-21.wav,03-01-04-02-01-01-21,RAVDESS_415,03,01,04,sad,02,strong,01,01,21,M,0,4.170839002267574,,0,0,1,0
418,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_21/03-01-05-01-02-02-21.wav,03-01-05-01-02-02-21,RAVDESS_418,03,01,05,angry,01,normal,02,02,21,M,0,3.937278911564626,,1,0,0,0
420,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_08/03-01-05-02-02-01-08.wav,03-01-05-02-02-01-08,RAVDESS_420,03,01,05,angry,02,strong,02,01,08,F,0,3.603628117913832,,1,0,0,0
422,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_08/03-01-04-01-01-01-08.wav,03-01-04-01-01-01-08,RAVDESS_422,03,01,04,sad,01,normal,01,01,08,F,0,4.20421768707483,,0,0,1,0
424,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_08/03-01-04-02-01-01-08.wav,03-01-04-02-01-01-08,RAVDESS_424,03,01,04,sad,02,strong,01,01,08,F,0,3.7704308390022674,,0,0,1,0
425,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_08/03-01-03-01-02-01-08.wav,03-01-03-01-02-01-08,RAVDESS_425,03,01,03,happy,01,normal,02,01,08,F,0,3.47015873015873,,0,1,0,0
426,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_08/03-01-03-02-02-02-08.wav,03-01-03-02-02-02-08,RAVDESS_426,03,01,03,happy,02,strong,02,02,08,F,0,3.937278911564626,,0,1,0,0
429,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_08/03-01-04-01-02-02-08.wav,03-01-04-01-02-02-08,RAVDESS_429,03,01,04,sad,01,normal,02,02,08,F,0,3.603628117913832,,0,0,1,0
430,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_08/03-01-01-01-02-01-08.wav,03-01-01-01-02-01-08,RAVDESS_430,03,01,01,neutral,01,normal,02,01,08,F,0,3.53687074829932,,0,0,0,1
432,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_08/03-01-05-02-01-02-08.wav,03-01-05-02-01-02-08,RAVDESS_432,03,01,05,angry,02,strong,01,02,08,F,0,3.7704761904761903,,1,0,0,0
435,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_08/03-01-01-01-01-02-08.wav,03-01-01-01-01-02-08,RAVDESS_435,03,01,01,neutral,01,normal,01,02,08,F,0,3.6370068027210882,,0,0,0,1
440,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_08/03-01-03-02-01-01-08.wav,03-01-03-02-01-01-08,RAVDESS_440,03,01,03,happy,02,strong,01,01,08,F,0,3.7704308390022674,,0,1,0,0
441,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_08/03-01-05-01-01-02-08.wav,03-01-05-01-01-02-08,RAVDESS_441,03,01,05,angry,01,normal,01,02,08,F,0,3.603628117913832,,1,0,0,0
444,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_08/03-01-03-02-02-01-08.wav,03-01-03-02-02-01-08,RAVDESS_444,03,01,03,happy,02,strong,02,01,08,F,0,3.83718820861678,,0,1,0,0
445,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_08/03-01-04-02-02-01-08.wav,03-01-04-02-02-01-08,RAVDESS_445,03,01,04,sad,02,strong,02,01,08,F,0,3.670340136054422,,0,0,1,0
446,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_08/03-01-03-01-01-01-08.wav,03-01-03-01-01-01-08,RAVDESS_446,03,01,03,happy,01,normal,01,01,08,F,0,3.5035374149659866,,0,1,0,0
447,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_08/03-01-03-01-01-02-08.wav,03-01-03-01-01-02-08,RAVDESS_447,03,01,03,happy,01,normal,01,02,08,F,0,3.436780045351474,,0,1,0,0
449,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_08/03-01-04-01-01-02-08.wav,03-01-04-01-01-02-08,RAVDESS_449,03,01,04,sad,01,normal,01,02,08,F,0,3.8705215419501133,,0,0,1,0
450,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_08/03-01-05-02-02-02-08.wav,03-01-05-02-02-02-08,RAVDESS_450,03,01,05,angry,02,strong,02,02,08,F,0,3.6369614512471657,,1,0,0,0
451,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_08/03-01-05-01-02-01-08.wav,03-01-05-01-02-01-08,RAVDESS_451,03,01,05,angry,01,normal,02,01,08,F,0,3.5369160997732427,,1,0,0,0
459,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_08/03-01-04-01-02-01-08.wav,03-01-04-01-02-01-08,RAVDESS_459,03,01,04,sad,01,normal,02,01,08,F,0,3.570294784580499,,0,0,1,0
460,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_08/03-01-05-01-01-01-08.wav,03-01-05-01-01-01-08,RAVDESS_460,03,01,05,angry,01,normal,01,01,08,F,0,3.703718820861678,,1,0,0,0
461,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_08/03-01-04-02-01-02-08.wav,03-01-04-02-01-02-08,RAVDESS_461,03,01,04,sad,02,strong,01,02,08,F,0,3.937278911564626,,0,0,1,0
462,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_08/03-01-04-02-02-02-08.wav,03-01-04-02-02-02-08,RAVDESS_462,03,01,04,sad,02,strong,02,02,08,F,0,3.703718820861678,,0,0,1,0
464,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_08/03-01-01-01-01-01-08.wav,03-01-01-01-01-01-08,RAVDESS_464,03,01,01,neutral,01,normal,01,01,08,F,0,3.5035374149659866,,0,0,0,1
467,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_08/03-01-03-01-02-02-08.wav,03-01-03-01-02-02-08,RAVDESS_467,03,01,03,happy,01,normal,02,02,08,F,0,3.436780045351474,,0,1,0,0
468,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_08/03-01-01-01-02-02-08.wav,03-01-01-01-02-02-08,RAVDESS_468,03,01,01,neutral,01,normal,02,02,08,F,0,3.5035374149659866,,0,0,0,1
471,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_08/03-01-05-01-02-02-08.wav,03-01-05-01-02-02-08,RAVDESS_471,03,01,05,angry,01,normal,02,02,08,F,0,3.570249433106576,,1,0,0,0
475,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_08/03-01-03-02-01-02-08.wav,03-01-03-02-01-02-08,RAVDESS_475,03,01,03,happy,02,strong,01,02,08,F,0,3.9039002267573695,,0,1,0,0
479,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_08/03-01-05-02-01-01-08.wav,03-01-05-02-01-01-08,RAVDESS_479,03,01,05,angry,02,strong,01,01,08,F,0,3.970657596371882,,1,0,0,0
482,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_22/03-01-05-01-01-02-22.wav,03-01-05-01-01-02-22,RAVDESS_482,03,01,05,angry,01,normal,01,02,22,F,0,3.737097505668934,,1,0,0,0
483,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_22/03-01-05-01-02-02-22.wav,03-01-05-01-02-02-22,RAVDESS_483,03,01,05,angry,01,normal,02,02,22,F,0,4.037369614512472,,1,0,0,0
484,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_22/03-01-03-01-01-02-22.wav,03-01-03-01-01-02-22,RAVDESS_484,03,01,03,happy,01,normal,01,02,22,F,0,3.436780045351474,,0,1,0,0
485,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_22/03-01-05-02-01-02-22.wav,03-01-05-02-01-02-22,RAVDESS_485,03,01,05,angry,02,strong,01,02,22,F,0,3.9039002267573695,,1,0,0,0
486,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_22/03-01-03-02-02-02-22.wav,03-01-03-02-02-02-22,RAVDESS_486,03,01,03,happy,02,strong,02,02,22,F,0,3.937278911564626,,0,1,0,0
487,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_22/03-01-04-02-01-02-22.wav,03-01-04-02-01-02-22,RAVDESS_487,03,01,04,sad,02,strong,01,02,22,F,0,3.6370068027210882,,0,0,1,0
489,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_22/03-01-04-01-02-02-22.wav,03-01-04-01-02-02-22,RAVDESS_489,03,01,04,sad,01,normal,02,02,22,F,0,3.703718820861678,,0,0,1,0
490,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_22/03-01-01-01-02-01-22.wav,03-01-01-01-02-01-22,RAVDESS_490,03,01,01,neutral,01,normal,02,01,22,F,0,3.603628117913832,,0,0,0,1
491,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_22/03-01-04-02-02-02-22.wav,03-01-04-02-02-02-22,RAVDESS_491,03,01,04,sad,02,strong,02,02,22,F,0,3.83718820861678,,0,0,1,0
495,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_22/03-01-03-01-02-02-22.wav,03-01-03-01-02-02-22,RAVDESS_495,03,01,03,happy,01,normal,02,02,22,F,0,3.5035374149659866,,0,1,0,0
496,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_22/03-01-05-02-01-01-22.wav,03-01-05-02-01-01-22,RAVDESS_496,03,01,05,angry,02,strong,01,01,22,F,0,3.8705668934240363,,1,0,0,0
498,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_22/03-01-01-01-01-01-22.wav,03-01-01-01-01-01-22,RAVDESS_498,03,01,01,neutral,01,normal,01,01,22,F,0,3.6370068027210882,,0,0,0,1
502,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_22/03-01-05-01-02-01-22.wav,03-01-05-01-02-01-22,RAVDESS_502,03,01,05,angry,01,normal,02,01,22,F,0,3.8705215419501133,,1,0,0,0
504,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_22/03-01-05-01-01-01-22.wav,03-01-05-01-01-01-22,RAVDESS_504,03,01,05,angry,01,normal,01,01,22,F,0,3.703718820861678,,1,0,0,0
506,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_22/03-01-03-01-02-01-22.wav,03-01-03-01-02-01-22,RAVDESS_506,03,01,03,happy,01,normal,02,01,22,F,0,3.5035374149659866,,0,1,0,0
